"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2022年06月29日","26,764.00","26,779.00","26,859.50","26,676.50","-","-1.06%"
"2022年06月28日","27,049.47","26,795.68","27,062.31","26,789.50","733.59M","0.66%"
"2022年06月27日","26,871.27","26,741.80","26,938.43","26,665.44","657.74M","1.43%"
"2022年06月24日","26,491.97","26,228.42","26,519.16","26,148.56","726.41M","1.23%"
"2022年06月23日","26,171.25","26,134.89","26,401.97","26,039.57","656.83M","0.08%"
"2022年06月22日","26,149.55","26,441.72","26,462.83","26,149.17","663.69M","-0.37%"
"2022年06月21日","26,246.31","26,070.92","26,418.84","25,972.28","653.59M","1.84%"
"2022年06月20日","25,771.22","26,156.62","26,156.62","25,520.23","721.76M","-0.74%"
"2022年06月17日","25,963.00","25,988.20","26,072.35","25,720.80","1.15B","-1.77%"
"2022年06月16日","26,431.20","26,715.52","26,947.70","26,431.20","678.27M","0.40%"
"2022年06月15日","26,326.16","26,625.68","26,638.76","26,321.68","727.41M","-1.14%"
"2022年06月14日","26,629.86","26,555.75","26,657.92","26,357.90","750.15M","-1.32%"
"2022年06月13日","26,987.44","27,369.66","27,389.30","26,948.22","713.59M","-3.01%"
"2022年06月10日","27,824.29","27,996.35","28,044.45","27,795.17","797.50M","-1.49%"
"2022年06月09日","28,246.53","28,189.35","28,389.75","28,189.35","803.04M","0.04%"
"2022年06月08日","28,234.29","28,100.26","28,234.29","28,089.78","786.80M","1.04%"
"2022年06月07日","27,943.95","27,984.79","28,094.73","27,863.38","682.52M","0.10%"
"2022年06月06日","27,915.89","27,549.64","27,979.54","27,523.95","567.65M","0.56%"
"2022年06月03日","27,761.57","27,660.62","27,776.33","27,614.86","636.78M","1.27%"
"2022年06月02日","27,413.88","27,340.52","27,450.47","27,251.24","636.44M","-0.16%"
"2022年06月01日","27,457.89","27,295.63","27,482.31","27,295.42","757.60M","0.65%"
"2022年05月31日","27,279.80","27,318.09","27,463.33","27,250.70","1.42B","-0.33%"
"2022年05月30日","27,369.43","27,092.82","27,401.24","27,057.20","969.58M","2.19%"
"2022年05月27日","26,781.68","26,947.80","26,996.70","26,731.60","693.12M","0.66%"
"2022年05月26日","26,604.84","26,685.02","26,898.75","26,597.97","645.12M","-0.27%"
"2022年05月25日","26,677.80","26,711.53","26,795.89","26,578.03","723.40M","-0.26%"
"2022年05月24日","26,748.14","27,005.43","27,005.43","26,736.01","674.41M","-0.94%"
"2022年05月23日","27,001.52","26,991.42","27,047.47","26,832.65","650.27M","0.98%"
"2022年05月20日","26,739.03","26,448.23","26,769.20","26,426.99","763.41M","1.27%"
"2022年05月19日","26,402.84","26,435.32","26,458.85","26,150.09","745.04M","-1.89%"
"2022年05月18日","26,911.20","26,826.82","27,053.18","26,741.34","746.71M","0.94%"
"2022年05月17日","26,659.75","26,555.23","26,709.26","26,440.62","789.29M","0.42%"
"2022年05月16日","26,547.05","26,753.37","26,836.96","26,438.61","869.88M","0.45%"
"2022年05月13日","26,427.65","25,918.80","26,479.93","25,904.40","1.04B","2.64%"
"2022年05月12日","25,748.72","25,945.04","26,028.36","25,688.11","911.68M","-1.77%"
"2022年05月11日","26,213.64","26,045.38","26,290.62","26,003.26","858.64M","0.18%"
"2022年05月10日","26,167.10","26,149.06","26,246.63","25,773.83","807.62M","-0.58%"
"2022年05月09日","26,319.34","26,705.32","26,732.61","26,309.22","795.32M","-2.53%"
"2022年05月06日","27,003.56","26,784.29","27,072.59","26,543.29","984.98M","0.69%"
"2022年05月02日","26,818.53","26,851.10","26,964.59","26,610.86","-","-0.11%"
"2022年04月28日","26,847.90","26,430.28","26,876.95","26,348.36","867.04M","1.75%"
"2022年04月27日","26,386.63","26,313.14","26,406.62","26,051.04","973.01M","-1.17%"
"2022年04月26日","26,700.11","26,743.21","26,808.99","26,592.99","-","0.41%"
"2022年04月25日","26,590.78","26,692.48","26,764.48","26,487.84","626.82M","-1.90%"
"2022年04月22日","27,105.26","27,197.80","27,205.83","26,904.38","584.65M","-1.63%"
"2022年04月21日","27,553.06","27,259.14","27,580.64","27,252.83","623.40M","1.23%"
"2022年04月20日","27,217.85","27,210.79","27,389.84","27,066.18","723.36M","0.86%"
"2022年04月19日","26,985.09","27,096.49","27,100.59","26,777.71","605.07M","0.69%"
"2022年04月18日","26,799.71","26,831.45","26,851.80","26,571.38","483.50M","-1.08%"
"2022年04月15日","27,093.19","26,932.48","27,203.77","26,784.92","515.47M","-0.29%"
"2022年04月14日","27,172.00","26,925.64","27,200.89","26,890.68","618.42M","1.22%"
"2022年04月13日","26,843.49","26,436.06","26,885.87","26,429.47","716.29M","1.93%"
"2022年04月12日","26,334.98","26,606.87","26,674.86","26,304.08","753.18M","-1.81%"
"2022年04月11日","26,821.52","26,877.60","27,004.50","26,720.46","734.51M","-0.61%"
"2022年04月08日","26,985.80","27,097.05","27,185.23","26,764.36","780.65M","0.36%"
"2022年04月07日","26,888.57","27,032.42","27,042.49","26,801.79","711.29M","-1.69%"
"2022年04月06日","27,350.30","27,533.88","27,549.67","27,214.61","686.52M","-1.58%"
"2022年04月05日","27,787.98","27,965.94","27,965.94","27,662.28","643.00M","0.19%"
"2022年04月04日","27,736.47","27,685.65","27,754.24","27,578.81","503.46M","0.25%"
"2022年04月01日","27,665.98","27,624.11","27,738.31","27,399.48","667.54M","-0.56%"
"2022年03月31日","27,821.43","27,809.97","28,101.68","27,763.96","786.42M","-0.73%"
"2022年03月30日","28,027.25","28,250.80","28,281.45","27,736.27","834.48M","-0.80%"
"2022年03月29日","28,252.42","28,173.43","28,252.42","28,063.92","777.01M","1.10%"
"2022年03月28日","27,943.89","28,084.08","28,084.08","27,812.67","653.00M","-0.73%"
"2022年03月25日","28,149.84","28,338.81","28,338.81","27,946.79","674.03M","0.14%"
"2022年03月24日","28,110.39","27,693.77","28,110.39","27,624.62","716.04M","0.25%"
"2022年03月23日","28,040.16","27,606.79","28,056.20","27,604.37","882.01M","3.00%"
"2022年03月22日","27,224.11","27,091.32","27,284.47","27,076.33","979.85M","1.48%"
"2022年03月18日","26,827.43","26,649.50","26,862.43","26,592.98","1.08B","0.65%"
"2022年03月17日","26,652.89","26,170.38","26,702.94","26,152.89","896.41M","3.46%"
"2022年03月16日","25,762.01","25,574.90","25,824.94","25,470.46","823.42M","1.64%"
"2022年03月15日","25,346.48","25,228.53","25,441.67","25,219.13","732.02M","0.15%"
"2022年03月14日","25,307.85","25,338.64","25,631.01","25,299.64","725.83M","0.58%"
"2022年03月11日","25,162.78","25,495.03","25,503.65","24,966.50","895.95M","-2.05%"
"2022年03月10日","25,690.40","25,108.47","25,720.31","25,099.85","952.29M","3.94%"
"2022年03月09日","24,717.53","24,876.49","25,084.08","24,681.74","915.25M","-0.30%"
"2022年03月08日","24,790.95","24,974.35","25,291.33","24,767.33","1.15B","-1.71%"
"2022年03月07日","25,221.41","25,634.09","25,640.41","25,006.26","1.05B","-2.94%"
"2022年03月04日","25,985.47","26,421.85","26,421.85","25,774.28","935.30M","-2.23%"
"2022年03月03日","26,577.27","26,628.87","26,704.85","26,496.72","747.89M","0.70%"
"2022年03月02日","26,393.03","26,532.20","26,585.30","26,313.72","877.11M","-1.68%"
"2022年03月01日","26,844.72","26,836.74","27,013.26","26,821.75","740.24M","1.20%"
"2022年02月28日","26,526.82","26,457.52","26,644.56","26,262.63","910.56M","0.19%"
"2022年02月25日","26,476.50","26,213.20","26,481.60","26,160.19","775.80M","1.95%"
"2022年02月24日","25,970.82","26,281.35","26,357.58","25,775.64","935.36M","-1.81%"
"2022年02月22日","26,449.61","26,515.45","26,550.14","26,243.73","673.11M","-1.71%"
"2022年02月21日","26,910.87","26,771.58","26,998.47","26,549.00","529.04M","-0.78%"
"2022年02月18日","27,122.07","26,895.16","27,216.16","26,792.54","635.33M","-0.41%"
"2022年02月17日","27,232.87","27,431.42","27,438.74","27,080.92","677.82M","-0.83%"
"2022年02月16日","27,460.40","27,269.05","27,486.09","27,227.24","641.24M","2.22%"
"2022年02月15日","26,865.19","27,183.56","27,205.20","26,724.91","761.72M","-0.79%"
"2022年02月14日","27,079.59","27,305.92","27,325.50","26,947.65","797.74M","-2.23%"
"2022年02月10日","27,696.08","27,818.10","27,880.70","27,575.07","828.74M","0.42%"
"2022年02月09日","27,579.87","27,488.65","27,633.10","27,405.88","934.78M","1.08%"
"2022年02月08日","27,284.52","27,318.30","27,461.33","27,280.25","766.03M","0.13%"
"2022年02月07日","27,248.87","27,327.63","27,369.68","27,085.32","770.96M","-0.70%"
"2022年02月04日","27,439.99","27,095.90","27,455.98","27,075.99","796.06M","0.73%"
"2022年02月03日","27,241.31","27,330.96","27,357.33","27,165.93","810.74M","-1.06%"
"2022年02月02日","27,533.60","27,302.99","27,564.62","27,289.16","852.10M","1.68%"
"2022年02月01日","27,078.48","27,167.14","27,410.79","27,016.71","811.32M","0.28%"
"2022年01月31日","27,001.98","26,690.60","27,134.57","26,541.65","782.88M","1.07%"
"2022年01月28日","26,717.34","26,429.85","26,764.85","26,289.69","759.87M","2.09%"
